track_id,parsed_genre_ids,parsed_genre_titles,acousticness,danceability,energy,instrumentalness,liveness
2,[21],['Hip-Hop'],0.4166752327,0.6758939853,0.6344762684,0.0106280683,0.1776465712
5,[21],['Hip-Hop'],0.0435668989,0.7455658702,0.7014699916,0.000696799,0.3731433124
10,[10],['Pop'],0.9516699648,0.6581786543,0.9245251615,0.9654270154,0.1154738842
140,[17],['Folk'],0.3763124975,0.7340790229,0.2656847734,0.6695811237,0.0859951222
141,[17],['Folk'],0.9636568796,0.435932998,0.0756321472,0.3454934909,0.1056858694
190,[17],['Folk'],0.9906294902,0.5007534567,0.3712297429,0.1028384438,0.2188101942
193,[17],['Folk'],0.9140388753,0.6406010435,0.1640712523,0.7605621934,0.2583990328
194,[17],['Folk'],0.9929059493,0.4947301766,0.2003375585,0.618086852,0.0864499383
197,[17],['Folk'],0.983585184,0.6026565649,0.0070436969,0.7917134418,0.0800219127
200,[17],['Folk'],0.9601916036,0.2159259286,0.2951264558,0.8029777144,0.1700761208
203,[17],['Folk'],0.9927647775,0.5889867604,0.1379182946,0.0873760557,0.0957687898
204,[17],['Folk'],0.9767540277,0.4134284125,0.2261673577,0.2648709939,0.1450636575
207,[17],['Folk'],0.9872581156,0.6337333928,0.0089874678,0.91008157,0.1079745759
210,[17],['Folk'],0.9895332895,0.4301895798,0.2270358594,0.5246838508,0.1058152942
211,[17],['Folk'],0.9911357831,0.6055538261,0.1730043357,0.8060266737,0.1652396741
212,[17],['Folk'],0.8440504744,0.6687378163,0.3569577601,0.0298648372,0.6185204718
213,[10],['Pop'],0.933741035,0.3127198225,0.3409990466,0.9192423237,0.0829758431
255,[12],['Rock'],0.9873281737,0.7035909913,0.4357120518,0.9017230301,0.1137581203
256,[31],['Metal'],0.4302465419,0.2620499343,0.9720856699,0.8966929619,0.4073435898
368,[89],['Post-Punk'],0.6372758449,0.3129760859,0.1164692389,0.5407334524,0.1017832597
534,[17],['Folk'],0.9954284179,0.3114615442,0.1438200274,0.9195401144,0.1202089823
540,[17],['Folk'],0.9957162406,0.4485085105,0.148548727,0.9423216421,0.1162726601
546,[17],['Folk'],0.9956504513,0.5716136809,0.2128768901,0.9425357801,0.1128822634
574,[25],['Punk'],0.3049734899,0.0776074462,0.985285921,0.6842740657,0.3111749891
602,[17],['Folk'],0.9874326721,0.3208894632,0.0574058783,0.7858920004,0.0920788278
620,[17],['Folk'],0.8852881115,0.7879726403,0.2364810285,0.9077923919,0.1175990858
621,[17],['Folk'],0.9763283789,0.3374758924,0.3387460962,0.7089930973,0.1168317399
625,[17],['Folk'],0.984743848,0.3434473556,0.2938124533,0.0576944525,0.0964654294
690,[12],['Rock'],0.0403489418,0.2967392425,0.9564261719,0.9340780549,0.6100837294
694,[21],['Hip-Hop'],0.1458427055,0.4053453629,0.842615945,1.18e-08,0.0666304994
695,[21],['Hip-Hop'],0.3113244672,0.2916881798,0.8108574058,0.44010699,0.3621457004
714,[17],['Folk'],0.3654471625,0.2617475693,0.0723938509,0.8740612382,0.1313893741
715,[17],['Folk'],0.9688864623,0.1553403861,0.2123027599,0.9454553954,0.3451333806
716,[17],['Folk'],0.9850551899,0.1246810839,0.0263421742,0.9682346122,0.1039391422
718,[17],['Folk'],0.9604920231,0.3342395136,0.1038395016,0.0017117108,0.1322383258
777,[12],['Rock'],0.1286144952,0.644333109,0.4460819136,0.2665649572,0.1749126969
814,[17],['Folk'],0.9926913948,0.2908645125,0.1011084324,0.8967505241,0.1115529286
821,[10],['Pop'],0.4004944242,0.8625099361,0.2514695821,0.9089261368,0.3239905292
822,[10],['Pop'],0.6743564014,0.8704490089,0.2751175212,0.8860449362,0.1043789381
825,"[12, 45, 58, 66]","['Rock', 'Loud-Rock', 'Psych-Rock', 'Indie-Rock']",0.9942135098,0.0850660337,0.9326844569,0.9718580224,0.1230686834
853,[2],['International'],0.9957009005,0.2129394543,0.3495002665,0.9709433459,0.2784205049
993,[12],['Rock'],0.0092722141,0.7035903369,0.6890474099,0.8078660414,0.0899693605
1082,[2],['International'],0.9957686039,0.4592608447,0.0081617746,0.9157699025,0.0995986856
1087,[12],['Rock'],0.0709493266,0.5846425808,0.814832734,0.9237026049,0.1124871845
1102,[12],['Rock'],0.1954238958,0.421607336,0.7028404521,0.8775190037,0.0632641788
1193,[17],['Folk'],0.97200265,0.618341117,0.2724071525,0.9302202926,0.1134020771
1195,[17],['Folk'],0.9475473118,0.2900942789,0.0480081846,0.9540022257,0.1109580309
1196,[17],['Folk'],0.6699166375,0.4225057127,0.4376794142,0.9230371963,0.1119775072
1197,[17],['Folk'],0.9915125141,0.4971504894,0.0548609959,0.9580220986,0.1048107813
1270,[25],['Punk'],0.9173272918,0.3082252501,0.8697368802,0.9233923878,0.2561366735
1417,[12],['Rock'],0.3302514701,0.3984823841,0.6587899561,0.8817097951,0.0970102556
1482,[15],['Electronic'],0.348607252,0.7591561302,0.1767993915,0.931498558,0.0944225127
1544,[33],['Psych-Folk'],0.9947253812,0.0556561526,0.0013082887,0.9556414648,0.0958626042
1642,[10],['Pop'],0.2559826289,0.5874667165,0.8318449674,0.3753521676,0.1962471262
1644,[10],['Pop'],0.0333130099,0.3851337744,0.8541683591,2.885e-07,0.0955361335
1649,[10],['Pop'],0.083582515,0.3163704131,0.9593131578,0.9427657055,0.2262813754
1661,[10],['Pop'],0.6718321398,0.1577093409,0.9887654359,0.8725297921,0.2256527477
1663,[10],['Pop'],0.5728566874,0.3303012013,0.698041335,0.970438749,0.0926727049
1666,[10],['Pop'],0.7376420949,0.4414897598,0.5476449497,0.8838743234,0.0918357026
1680,[2],['International'],0.9874454052,0.4505183227,0.2507261544,0.9378934831,0.3433162077
1681,[2],['International'],0.9287891587,0.488449635,0.2928064883,0.0082155118,0.1013906606
1682,[2],['International'],0.9915719257,0.622491399,0.333366605,0.3500093053,0.0753415329
1683,[2],['International'],0.9698391002,0.3994860146,0.1882254583,0.0007516957,0.1009903215
1684,[2],['International'],0.9789810623,0.4810810355,0.3337445203,0.1873255444,0.1146205821
1685,[2],['International'],0.9875469651,0.5308485466,0.1571080794,0.1625576832,0.1062624982
1686,[2],['International'],0.8001763834,0.5141711453,0.3127069214,0.8524636294,0.0374482694
